budget,genres,id,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
"$87,000,000.00","[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",4464,en,Seabiscuit,14.824166,2003-07-22,148336445,141,Released,The hopes of a nation rode on a long shot.,Seabiscuit,6.7,216
"$92,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",664,en,Twister,32.079995,1996-05-10,494471524,113,Released,The Dark Side of Nature.,Twister,6.1,950
"$90,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",8358,en,Cast Away,57.739713,2000-12-22,429632142,143,Released,"At the edge of the world, his journey begins.",Cast Away,7.5,3218
"$100,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}]",9836,en,Happy Feet,37.272385,2006-11-16,384335608,108,Released,WARNING: May Cause Toe-Tapping.,Happy Feet,5.9,1410
"$75,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2502,en,The Bourne Supremacy,53.213931,2004-07-23,288500217,108,Released,They should have left him alone.,The Bourne Supremacy,7.2,2825
"$85,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",9772,en,Air Force One,36.38795,1997-07-25,315156409,124,Released,The fate of a nation rests on the courage of one man.,Air Force One,6.2,840
"$85,000,000.00","[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",161,en,Ocean's Eleven,60.929352,2001-12-07,450717150,116,Released,Are you in or out?,Ocean's Eleven,7.2,3783
"$75,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",52451,en,The Three Musketeers,36.605246,2011-08-31,132274484,110,Released,Every legend has a new beginning.,The Three Musketeers,5.6,924
"$85,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",76492,en,Hotel Transylvania,56.257411,2012-09-20,358375603,91,Released,Where monsters go to get away from it all,Hotel Transylvania,6.8,2566
"$85,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",4523,en,Enchanted,29.21998,2007-11-20,340487652,107,Released,This fairytale princess is about to meet a real Prince Charming,Enchanted,6.6,1449
"$85,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",59961,en,Safe House,34.773106,2012-02-09,208076205,115,Released,No one is safe,Safe House,6.3,1345
"$85,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",10481,en,102 Dalmatians,9.895061,2000-10-07,183611771,100,Released,Meet Two Unlikely Heroes With A Bone To Pick.,102 Dalmatians,5.1,313
"$75,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",59108,en,Tower Heist,36.743324,2011-11-02,152930623,104,Released,Ordinary guys. An extraordinary robbery.,Tower Heist,5.8,932
"$85,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",1581,en,The Holiday,44.967453,2006-12-08,194168700,136,Released,It's Christmas Eve and we are going to go celebrate being young and being alive.,The Holiday,6.7,1225
"$90,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",9798,en,Enemy of the State,41.207568,1998-11-20,250649836,132,Released,It's not paranoia if they're really after you.,Enemy of the State,6.7,1240
"$85,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",22897,en,It's Complicated,16.479851,2009-12-23,219103655,121,Released,First comes marriage. Then comes divorce. And then...,It's Complicated,6.2,360
"$85,000,000.00","[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",298,en,Ocean's Thirteen,42.069993,2007-06-07,311312624,122,Released,What are the odds of getting even? 13 to one.,Ocean's Thirteen,6.5,1999
"$85,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",7484,en,Open Season,26.61951,2006-09-29,197309027,83,Released,One Fur All & All Fur One,Open Season,6.1,656
"$85,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",157350,en,Divergent,80.316463,2014-03-14,288747895,139,Released,What makes you different makes you dangerous.,Divergent,6.9,4663
"$68,000,000.00","[{""id"": 10752, ""name"": ""War""}]",853,en,Enemy at the Gates,41.273567,2001-03-13,96976270,131,Released,Some Men Are Born To Be Heroes.,Enemy at the Gates,7.2,999
"$85,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",10159,en,The Rundown,24.107835,2003-09-26,80916492,104,Released,cut to the chase,The Rundown,6.4,514
"$85,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",9593,en,Last Action Hero,32.044191,1993-06-18,137298489,130,Released,This isn't the movies anymore.,Last Action Hero,6.1,712
"$85,000,000.00","[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",1904,en,Memoirs of a Geisha,16.595874,2005-12-06,162242962,145,Released,"My world is as forbidden as it is fragile; without its mysteries, it cannot survive.",Memoirs of a Geisha,7.3,652
"$85,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",9615,en,The Fast and the Furious: Tokyo Drift,8.282876,2006-06-03,158468292,104,Released,"On the streets of Tokyo, speed needs no translation...",The Fast and the Furious: Tokyo Drift,6.1,1705
$0.00,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",51052,en,Arthur Christmas,19.83683,2011-02-22,0,97,Released,Ever wonder how 2 Billion presents get delivered all in 1 night?,Arthur Christmas,6.7,333
"$90,000,000.00","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",297,en,Meet Joe Black,36.069611,1998-11-12,142940100,178,Released,Sooner or later everyone does.,Meet Joe Black,6.9,1147
"$85,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",9884,en,Collateral Damage,18.827753,2002-02-06,78382433,108,Released,What would you do if you lost everything?,Collateral Damage,5.5,427
$0.00,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",16858,en,All That Jazz,5.159407,1979-12-20,37823676,123,Released,All that work. All that glitter. All that pain. All that love. All that crazy rhythm. All that jazz.,All That Jazz,7.3,85
"$85,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10751, ""name"": ""Family""}]",62764,en,Mirror Mirror,48.126297,2012-03-15,183018522,106,Released,The Snow White legend comes alive.,Mirror Mirror,5.5,1114
"$60,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",22538,en,Scott Pilgrim vs. the World,38.885195,2010-07-27,47664559,112,Released,Get the hot girl. Defeat her evil exes. Hit love where it hurts.,Scott Pilgrim vs. the World,7.2,2126
"$60,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",9341,en,The Core,29.211255,2003-03-28,74208267,136,Released,Earth has a deadline.,The Core,5.4,516
"$84,000,000.00","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 878, ""name"": ""Science Fiction""}]",12107,en,Nutty Professor II: The Klumps,17.783361,2000-07-27,123307945,106,Released,The Klumps are back!,Nutty Professor II: The Klumps,4.7,332
"$84,000,000.00","[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",9637,en,Scooby-Doo,31.435539,2002-06-14,275650703,88,Released,Get a Clue,Scooby-Doo,5.4,820
"$50,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",49049,en,Dredd,57.673932,2012-09-07,41037742,95,Released,Judgement is coming,Dredd,6.6,1940
"$82,500,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",9339,en,Click,41.176631,2006-06-22,237681299,107,Released,What If You Had A Remote... That Controlled Your Universe?,Click,6,2104
"$8,000,000.00","[{""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}]",16281,en,Creepshow,13.661289,1982-11-12,21028755,120,Released,The Most Fun You'll Ever Have... BEING SCARED!,Creepshow,6.7,226
"$85,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",39691,en,Cats & Dogs 2 : The Revenge of Kitty Galore,11.77398,2010-07-30,112483764,82,Released,Just like real spies... only furrier.,Cats & Dogs 2 : The Revenge of Kitty Galore,4.9,119
"$85,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",8247,en,Jumper,21.218,2008-02-10,222231186,88,Released,anywhere is possible.,Jumper,5.9,1799
"$85,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",11253,en,Hellboy II: The Golden Army,58.57976,2008-07-11,160388063,120,Released,Saving the world is a hell of a job.,Hellboy II: The Golden Army,6.5,1527
"$65,000,000.00","[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",1949,en,Zodiac,51.970905,2007-03-02,84785914,157,Released,There's more than one way to lose your life to a killer.,Zodiac,7.3,2023
"$82,000,000.00","[{""id"": 878, ""name"": ""Science Fiction""}]",8452,en,The 6th Day,18.447479,2000-11-17,96085477,123,Released,Are You Who You Think You Are,The 6th Day,5.7,595
"$80,000,000.00","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}]",310,en,Bruce Almighty,109.684788,2003-05-23,484572835,101,Released,In Bruce we trust,Bruce Almighty,6.4,3012
"$80,000,000.00","[{""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",27578,en,The Expendables,77.580661,2010-08-03,274470394,103,Released,Choose Your Weapon.,The Expendables,6,2926
"$80,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",954,en,Mission: Impossible,75.290998,1996-05-22,457696359,110,Released,Expect the Impossible.,Mission: Impossible,6.7,2631
"$75,000,000.00","[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",70160,en,The Hunger Games,68.550698,2012-03-12,691210692,142,Released,May The Odds Be Ever In Your Favor.,The Hunger Games,6.9,9455
"$80,000,000.00","[{""id"": 35, ""name"": ""Comedy""}]",45243,en,The Hangover Part II,58.040149,2011-05-25,254455986,102,Released,The Wolfpack Is Back,The Hangover Part II,6.2,3739
"$80,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",364,en,Batman Returns,59.113174,1992-06-19,280000000,126,Released,"The Bat, the Cat, the Penguin.",Batman Returns,6.6,1673
"$80,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",7518,en,Over the Hedge,36.32705,2006-04-22,343397247,83,Released,Taking back the neighborhood... One snack at a time.,Over the Hedge,6.3,1074
"$80,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",11544,en,Lilo & Stitch,55.659988,2002-06-21,145771527,85,Released,He's coming to our galaxy.,Lilo & Stitch,7.1,1314
"$85,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",9986,en,Charlotte's Web,14.132583,2006-12-15,144000000,97,Released,"Something unexpected, unbelievable, unforgettable.",Charlotte's Web,5.8,288
"$75,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",8656,en,Deep Impact,34.070054,1998-05-08,140464664,120,Released,Heaven and Earth are about to collide.,Deep Impact,5.9,855
"$84,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",146216,en,RED 2,44.34333,2013-07-18,0,116,Released,The best never rest.,RED 2,6.4,1526
"$82,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",9291,en,The Longest Yard,26.065735,2005-05-19,190320568,113,Released,"If you can't get out, get even.",The Longest Yard,6.2,785
"$75,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 16, ""name"": ""Animation""}]",55301,en,Alvin and the Chipmunks: Chipwrecked,23.473004,2011-12-14,342695435,87,Released,This holiday it's gonna get squeaky.,Alvin and the Chipmunks: Chipwrecked,5.4,484
"$80,000,000.00","[{""id"": 35, ""name"": ""Comedy""}]",109418,en,Grown Ups 2,45.589568,2013-07-11,246984278,100,Released,Just because they're a little older doesn't mean they've grown up.,Grown Ups 2,5.8,1155
"$80,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",11665,en,Get Smart,23.496054,2008-06-19,230685453,110,Released,Saving The World...And Loving It!,Get Smart,6,1051
"$80,000,000.00","[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",6964,en,Something's Gotta Give,16.939441,2003-12-12,266728738,128,Released,Schmucks are people too.,Something's Gotta Give,6.3,410
"$80,000,000.00","[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",11324,en,Shutter Island,81.914696,2010-02-18,294804195,138,Released,Someone is missing.,Shutter Island,7.8,6336
"$80,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",12193,en,Four Christmases,19.500893,2008-11-26,163733697,88,Released,"His father, her mother, his mother and her father all in one day.",Four Christmases,5.3,331
"$75,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",9928,en,Robots,29.558157,2005-03-10,260696994,91,Released,You can shine no matter what you're made of.,Robots,6,1333
"$80,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",754,en,Face/Off,46.075037,1997-06-27,245676146,138,Released,"In order to catch him, he must become him.",Face/Off,6.8,1583
"$80,000,000.00","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",10202,en,Bedtime Stories,23.531721,2008-12-24,212874442,99,Released,Whatever they dream up... he has to survive.,Bedtime Stories,5.9,901
"$80,000,000.00","[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",4147,en,Road to Perdition,49.078546,2002-07-12,181001478,117,Released,Pray for Michael Sullivan.,Road to Perdition,7.3,1077
"$80,000,000.00","[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}]",50546,en,Just Go with It,37.02665,2011-02-10,214918407,117,Released,Sometimes a guy's best wingman... is a wingwoman,Just Go with It,6.3,1543
"$75,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",1701,en,Con Air,45.154631,1997-06-01,224012234,115,Released,They were deadly on the ground; Now they have wings,Con Air,6.5,1270
"$80,000,000.00","[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}]",13027,en,Eagle Eye,46.887983,2008-09-25,178066569,118,Released,Don't walk. Run.,Eagle Eye,6.3,1018
"$79,000,000.00","[{""id"": 18, ""name"": ""Drama""}]",2289,en,Cold Mountain,24.598479,2003-12-24,173013509,154,Released,Find the strength. Find the courage. No matter what it takes... find the way home.,Cold Mountain,6.7,533
"$80,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",20504,en,The Book of Eli,32.363538,2010-01-14,157107755,118,Released,Some will kill to have it. He will kill to protect it.,The Book of Eli,6.6,2164
"$80,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",9574,en,Flubber,11.50396,1997-11-26,177977226,93,Released,Catch it if you can!,Flubber,5.3,695
"$80,000,000.00","[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 9648, ""name"": ""Mystery""}]",11618,en,The Haunting,19.375768,1999-07-23,91188905,113,Released,Some houses are born bad.,The Haunting,5.2,369
"$80,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2300,en,Space Jam,36.125715,1996-11-15,250200000,88,Released,Get ready to jam.,Space Jam,6.5,1288
$0.00,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10751, ""name"": ""Family""}]",12096,en,The Pink Panther,25.450534,2006-01-18,0,93,Released,Pardon His French.,The Pink Panther,5.6,550
"$80,000,000.00","[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",10200,en,The Day the Earth Stood Still,41.890722,2008-12-10,233093859,104,Released,12.12.08 is the Day the Earth Stood Still,The Day the Earth Stood Still,5.2,1043
"$75,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",8834,en,Conspiracy Theory,22.179658,1997-08-07,136982834,135,Released,What if your most paranoid nightmares had just come true?,Conspiracy Theory,6.5,431
"$68,000,000.00","[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",228150,en,Fury,139.575085,2014-10-15,211817906,135,Released,War never ends quietly.,Fury,7.4,3946
"$70,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",6068,en,Six Days Seven Nights,18.264635,1998-06-12,164000000,98,Released,"After this week in paradise, they’re going to need a vacation.",Six Days Seven Nights,5.6,332
"$80,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}]",41515,en,Yogi Bear,11.187696,2010-12-11,201584141,80,Released,Life's a Pic-A-Nic,Yogi Bear,5.2,220
"$80,000,000.00","[{""id"": 37, ""name"": ""Western""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",9023,en,Spirit: Stallion of the Cimarron,41.670544,2002-05-24,122563539,83,Released,Leader. Hero. Legend.,Spirit: Stallion of the Cimarron,7.4,831
"$80,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10751, ""name"": ""Family""}]",38317,en,Zookeeper,27.46264,2011-07-06,169852759,102,Released,Welcome to his jungle.,Zookeeper,5.3,498
"$80,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",2157,en,Lost in Space,17.455024,1998-04-03,136159423,130,Released,"Danger, Will Robinson!",Lost in Space,5,388
"$80,000,000.00","[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",14462,en,The Manchurian Candidate,21.394281,2004-07-30,96105964,129,Released,This summer everything is under control.,The Manchurian Candidate,6.2,393
$0.00,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",161795,en,Déjà Vu,0.605645,1998-04-22,0,117,Released,Your future is set...,Déjà Vu,8,1
"$80,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",159824,en,Hotel Transylvania 2,61.692197,2015-09-21,473226958,89,Released,They're back to raise a little terror,Hotel Transylvania 2,6.7,1497
"$80,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}]",49948,en,Fantasia 2000,14.530946,1999-12-17,90874570,74,Released,,Fantasia 2000,7,292
"$80,000,000.00","[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",2135,en,The Time Machine,25.978555,2002-03-04,123729176,96,Released,The greatest adventure THROUGH all time!,The Time Machine,5.8,631
"$90,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",9822,en,Mighty Joe Young,6.643778,1998-12-25,0,114,Released,Survival is an instinct.,Mighty Joe Young,5.9,208
"$102,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",9705,en,Swordfish,36.788745,2001-06-07,147080413,99,Released,Log On. Hack In. Go Anywhere. Get Everything.,Swordfish,6.1,932
"$75,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",1656,en,The Legend of Zorro,31.054334,2005-10-24,142400065,129,Released,The original caped crusader is back!,The Legend of Zorro,5.9,893
"$85,000,000.00","[{""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",12159,en,What Dreams May Come,21.891078,1998-10-02,71485043,113,Released,After life there is more. The end is just the beginning.,What Dreams May Come,6.8,577
"$85,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",9678,en,Little Nicky,18.335992,2000-11-10,0,90,Released,He's Never Been To Earth. He's Never Even Slept Over Some Other Dude's House.,Little Nicky,5.2,438
"$88,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",4442,en,The Brothers Grimm,40.138009,2005-08-26,105316267,118,Released,Eliminating Evil Since 1812.,The Brothers Grimm,5.6,818
"$70,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",75,en,Mars Attacks!,44.090535,1996-12-12,101371017,106,Released,Nice planet. We'll take it!,Mars Attacks!,6.1,1509
$0.00,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}]",330770,fr,Évolution,3.300061,2015-09-14,0,81,Released,,Evolution,6.4,47
$0.00,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",9433,en,The Edge,20.632673,1997-09-06,43312294,117,Released,"They were fighting over a woman when the plane went down. Now, their only chance for survival is each other.",The Edge,6.7,349
"$80,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",19959,en,Surrogates,36.664991,2009-09-24,122444772,89,Released,How do you save humanity when the only thing that's real is you?,Surrogates,5.9,1195
"$80,000,000.00","[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",11973,en,Thirteen Days,18.26121,2000-12-24,34566746,145,Released,You'll never believe how close we came,Thirteen Days,6.9,189
"$80,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",11228,en,Daylight,16.681269,1996-12-06,159212469,115,Released,No air. No escape. No time.,Daylight,5.8,378
"$80,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",77951,en,Walking With Dinosaurs,10.088006,2013-12-18,126546518,87,Released,The Greatest Adventure in 70 Million Years,Walking With Dinosaurs,5.2,133
"$44,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10752, ""name"": ""War""}]",5491,en,Battlefield Earth,7.89147,2000-05-10,21400000,118,Released,Take Back The Planet,Battlefield Earth,3,255
